,1995-1999,ticker,company,1996-2000,ticker,company,1997-2001,ticker,company,1998-2002,ticker,company,1999-2003,ticker,company,2000-2004,ticker,company,2001-2005,ticker,company,2002-2006,ticker,company,2003-2007,ticker,company,2004-2008,ticker,company,2005-2009,ticker,company,2006-2010,ticker,company,2007-2011,ticker,company,2008-2012,ticker,company,2009-2013,ticker,company,2010-2014,ticker,company,2011-2015,ticker,company,2012-2016,ticker,company,2013-2017,ticker,company,2014-2018,ticker,company
33,448.62%,INCY,Incyte,510.07%,WAT,Waters Corporation,377.30%,WMT,Wal-Mart Stores,217.09%,EA,Electronic Arts,144.06%,COO,The Cooper Companies,226.51%,NFLX,Netflix Inc.,303.26%,GRA,W.R. Grace,291.95%,JWN,Nordstrom,462.00%,PWR,Quanta Services Inc.,334.93%,ATVI,Activision Blizzard,90.51%,FMC,FMC Corporation,108.58%,MCD,McDonald's Corp.,135.53%,MA,Mastercard Inc.,92.97%,MCD,McDonald's Corp.,342.98%,KSU,Kansas City Southern,274.26%,VFC,V.F. Corp.,230.86%,SHW,Sherwin-Williams,216.05%,LVLT,Level 3 Communications,119.06%,JPM,JPMorgan Chase & Co.,151.93%,TSN,Tyson Foods
34,447.17%,WBA,Walgreens Boots Alliance,509.86%,WMT,Wal-Mart Stores,376.34%,AES,AES Corp,215.29%,SIG,Signet Jewelers,138.30%,SIG,Signet Jewelers,218.63%,GPN,Global Payments Inc,297.20%,GPN,Global Payments Inc,283.94%,RHT,Red Hat Inc.,453.10%,HUM,Humana Inc.,332.37%,BLK,BlackRock,90.32%,HOLX,Hologic,106.95%,CSX,CSX Corp.,129.82%,AZO,AutoZone Inc,90.82%,SWKS,Skyworks Solutions,340.26%,JWN,Nordstrom,266.33%,ROST,Ross Stores,228.61%,HD,Home Depot,214.33%,MAS,Masco Corp.,117.47%,RF,Regions Financial Corp.,150.95%,MSFT,Microsoft Corp.
35,446.73%,SLM,SLM Corporation,502.70%,TGT,Target Corp.,372.84%,EXPD,Expeditors International,215.22%,SYK,Stryker Corp.,136.08%,EOG,EOG Resources,217.10%,BLL,Ball Corp,293.91%,OI,Owens-Illinois,281.31%,EOG,EOG Resources,447.69%,JWN,Nordstrom,318.66%,COG,Cabot Oil & Gas,89.51%,EOG,EOG Resources,105.79%,CLF,Cliffs Natural Resources,129.31%,DISCK,Discovery Communications,90.36%,COG,Cabot Oil & Gas,338.26%,INCY,Incyte,265.88%,TJX,TJX Companies Inc.,227.53%,HRB,Block H&R,212.36%,FISV,Fiserv Inc,117.23%,RSG,Republic Services Inc,149.88%,AVY,Avery Dennison Corp
36,444.46%,FITB,Fifth Third Bancorp,493.50%,COST,Costco Wholesale Corp.,372.02%,CMCSA,Comcast Corp.,211.73%,ESRX,Express Scripts,135.61%,BLL,Ball Corp,215.46%,COO,The Cooper Companies,277.63%,GILD,Gilead Sciences,270.65%,LM,Legg Mason,442.78%,CBG,CBRE Group,317.73%,ANSS,ANSYS,84.41%,BLK,BlackRock,103.14%,OXY,Occidental Petroleum,127.98%,PXD,Pioneer Natural Resources,89.48%,CTSH,Cognizant Technology Solutions,336.89%,DISCK,Discovery Communications,262.47%,FBHS,Fortune Brands Home & Security,224.40%,LMT,Lockheed Martin Corp.,210.35%,TMO,Thermo Fisher Scientific,115.32%,APH,Amphenol Corp,149.32%,HUM,Humana Inc.
37,433.33%,SWKS,Skyworks Solutions,477.38%,XLNX,Xilinx Inc,370.34%,AMGN,Amgen Inc,211.13%,INTU,Intuit,133.85%,NVDA,Nvidia Corporation,215.26%,CNX,Consol Energy,273.58%,GGP,General Growth Properties Inc.,264.34%,ROK,Rockwell Automation Inc.,421.99%,TPR,"Tapestry, Inc.",316.32%,OI,Owens-Illinois,78.63%,COG,Cabot Oil & Gas,103.11%,DISCA,Discovery Communications,127.75%,SWN,Southwestern Energy,89.04%,FOSL,Fossil Group,335.31%,TJX,TJX Companies Inc.,260.46%,ILMN,Illumina Inc,223.59%,TJX,TJX Companies Inc.,207.99%,LMT,Lockheed Martin Corp.,113.66%,RE,Everest Re,146.59%,ETFC,E*Trade
38,425.06%,NTRS,Northern Trust Corp.,465.65%,INTC,Intel Corp.,369.56%,NTRS,Northern Trust Corp.,203.57%,ADBE,Adobe Systems Inc,132.03%,RDC,Rowan Companies Plc,211.57%,BLK,BlackRock,269.21%,ADS,Alliance Data Systems,259.32%,CNC,Centene Corporation,406.16%,ALGN,Align Technology,311.85%,CELG,Celgene Corp.,76.90%,CXO,Concho Resources,100.36%,CMG,Chipotle Mexican Grill,125.75%,OXY,Occidental Petroleum,88.33%,PM,Philip Morris International,334.93%,SBAC,SBA Communications,259.67%,SBUX,Starbucks Corp.,221.88%,CMG,Chipotle Mexican Grill,203.02%,EFX,Equifax Inc.,113.61%,LOW,Lowe's Cos.,142.55%,TER,Teradyne
39,423.50%,CCL,Carnival Corp.,462.41%,OMC,Omnicom Group,362.68%,SBAC,SBA Communications,202.36%,SYMC,Symantec Corp.,129.93%,ETN,Eaton Corporation,205.06%,ETN,Eaton Corporation,269.15%,DVA,DaVita,258.43%,ESRX,Express Scripts,391.86%,DNR,Denbury Resources,306.18%,ADSK,Autodesk Inc,75.86%,SBAC,SBA Communications,99.59%,DLTR,Dollar Tree,123.57%,F,Ford Motor,87.16%,AAP,Advance Auto Parts,331.62%,CMI,Cummins Inc.,259.08%,COG,Cabot Oil & Gas,218.80%,ORLY,O'Reilly Automotive,201.63%,LB,L Brands Inc.,110.06%,AON,Aon plc,140.85%,HD,Home Depot
40,419.30%,IBM,International Business Machines,442.08%,CMCSA,Comcast Corp.,362.48%,AJG,Arthur J. Gallagher & Co.,201.71%,COF,Capital One Financial,128.30%,MUR,Murphy Oil,203.43%,HCP,HCP Inc.,260.84%,LEN,Lennar Corp.,257.07%,PHM,Pulte Homes Inc.,388.29%,SLG,SL Green Realty,295.80%,NRG,NRG Energy,73.99%,ANSS,ANSYS,99.06%,ESRX,Express Scripts,117.00%,ROST,Ross Stores,86.85%,AMZN,Amazon.com Inc,324.98%,FFIV,F5 Networks,257.39%,FOSL,Fossil Group,215.50%,COG,Cabot Oil & Gas,198.18%,BAC,Bank of America Corp,107.92%,NKE,Nike,140.33%,CHTR,Charter Communications
41,410.48%,MCK,McKesson Corp.,441.09%,ADI,"Analog Devices, Inc.",353.64%,JCI,Johnson Controls Inc,200.58%,MTD,Mettler Toledo,127.98%,DNB,Dun & Bradstreet,203.04%,ROST,Ross Stores,255.84%,COO,The Cooper Companies,255.70%,VTR,Ventas Inc,384.96%,MRO,Marathon Oil Corp.,293.72%,AMT,American Tower Corp A,73.77%,DVN,Devon Energy,96.14%,ORCL,Oracle Corp.,116.29%,FMC,FMC Corporation,85.29%,PXD,Pioneer Natural Resources,323.65%,CF,CF Industries Holdings Inc,256.43%,PPG,PPG Industries,215.09%,FL,Foot Locker Inc,198.09%,SHW,Sherwin-Williams,105.34%,ABBV,AbbVie Inc.,138.62%,TSS,Total System Services
42,409.23%,EBAY,eBay,440.98%,KSS,Kohl's,348.15%,TAP,Molson Coors Brewing Company,199.81%,EXPD,Expeditors International,127.95%,SYY,Sysco Corp.,200.25%,PDCO,Patterson Companies,253.29%,AN,AutoNation Inc,251.76%,UNH,United Health Group Inc.,372.65%,ATVI,Activision Blizzard,292.39%,EOG,EOG Resources,67.90%,XOM,Exxon Mobil Corp.,88.76%,MTD,Mettler Toledo,114.31%,UNP,Union Pacific,84.53%,DRI,Darden Restaurants,319.97%,MAC,Macerich,252.97%,MNST,Monster Beverage,211.62%,SIG,Signet Jewelers,195.50%,NWL,Newell Brands,103.35%,BLK,BlackRock,138.08%,DHR,Danaher Corp.
43,408.42%,BMY,Bristol-Myers Squibb,435.89%,CELG,Celgene Corp.,329.17%,PWR,Quanta Services Inc.,197.63%,WMT,Wal-Mart Stores,126.90%,SLM,SLM Corporation,200.00%,HOLX,Hologic,251.69%,FRT,Federal Realty Investment Trust,246.37%,ANSS,ANSYS,369.75%,NFLX,Netflix Inc.,281.34%,WMB,Williams Cos.,64.15%,BAX,Baxter International Inc.,88.26%,SRCL,Stericycle Inc,113.93%,SRCL,Stericycle Inc,78.53%,HD,Home Depot,319.40%,DFS,Discover Financial Services,252.48%,VLO,Valero Energy,210.73%,ROST,Ross Stores,193.99%,HRL,Hormel Foods Corp.,102.67%,TEL,TE Connectivity Ltd.,137.89%,AOS,A.O. Smith
44,405.33%,AES,AES Corp,427.18%,GLW,Corning Inc.,328.97%,GLW,Corning Inc.,195.22%,BLK,BlackRock,126.68%,UDR,UDR Inc,199.01%,MO,Altria Group Inc,251.58%,ROST,Ross Stores,244.60%,DHI,D. R. Horton,368.70%,LRCX,Lam Research,277.15%,CCI,Crown Castle International Corp.,63.95%,NBL,Noble Energy Inc,88.14%,ALB,Albemarle Corp,109.60%,CERN,Cerner,76.72%,HSY,The Hershey Company,314.80%,CCE,Coca-Cola Enterprises,250.43%,DLTR,Dollar Tree,210.33%,KORS,Michael Kors Holdings,193.82%,LYB,LyondellBasell,100.20%,BMY,Bristol-Myers Squibb,136.84%,EXR,Extra Space Storage
45,401.09%,STT,State Street Corp.,408.13%,JCI,Johnson Controls Inc,326.02%,WBA,Walgreens Boots Alliance,190.75%,FISV,Fiserv Inc,123.19%,MCHP,Microchip Technology,198.90%,UHS,"Universal Health Services, Inc.",250.17%,ENDP,Endo International plc,235.52%,AKAM,Akamai Technologies Inc,363.01%,PBCT,People's United Financial,266.68%,DLR,Digital Realty,63.55%,HAS,Hasbro Inc.,85.57%,COG,Cabot Oil & Gas,109.55%,GWW,Grainger (W.W.) Inc.,72.86%,SPG,Simon Property Group Inc,310.47%,CCI,Crown Castle International Corp.,247.12%,GILD,Gilead Sciences,208.53%,KR,Kroger Co.,191.84%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,99.48%,HON,Honeywell Int'l Inc.,135.18%,DHI,D. R. Horton
46,400.66%,AGN,"Allergan, Inc",398.38%,KSU,Kansas City Southern,325.04%,AMAT,Applied Materials Inc,190.55%,MCHP,Microchip Technology,122.93%,XRAY,Dentsply Sirona,197.54%,MAC,Macerich,245.70%,SIG,Signet Jewelers,234.21%,OXY,Occidental Petroleum,361.32%,ETFC,E*Trade,259.03%,GT,Goodyear Tire & Rubber,62.79%,PBCT,People's United Financial,85.45%,SBAC,SBA Communications,107.45%,EL,Estee Lauder Cos.,71.56%,MAT,Mattel Inc.,309.08%,CTSH,Cognizant Technology Solutions,246.19%,STX,Seagate Technology,208.50%,WYN,Wyndham Worldwide,189.02%,DIS,The Walt Disney Company,98.32%,BK,The Bank of New York Mellon Corp.,134.80%,ARE,Alexandria Real Estate Equities Inc
47,396.41%,KR,Kroger Co.,390.17%,IBM,International Business Machines,317.94%,EBAY,eBay,188.10%,SBR,Sabre Holdings,121.37%,ROST,Ross Stores,196.47%,RRC,Range Resources Corp.,241.98%,SPG,Simon Property Group Inc,230.13%,DVN,Devon Energy,358.92%,GOOGL,Alphabet Inc Class A,256.80%,X,United States Steel Corporation,61.76%,LMT,Lockheed Martin Corp.,85.36%,CHD,Church & Dwight,105.91%,RHT,Red Hat Inc.,71.22%,ESS,"Essex Property Trust, Inc.",307.13%,UAA,Under Armour,239.35%,M,Macy's Inc.,208.33%,FOXA,Twenty-First Century Fox Class A,186.46%,RTN,Raytheon Co.,94.34%,CAG,Conagra Brands,134.10%,AWK,American Water Works Company Inc
48,396.02%,TGT,Target Corp.,386.64%,TER,Teradyne,315.52%,HD,Home Depot,187.52%,DRI,Darden Restaurants,116.65%,FII,Federated Investors,195.45%,JEC,Jacobs Engineering Group,235.15%,MCO,Moody's Corp,228.12%,GRMN,Garmin Ltd.,358.92%,GOOG,Alphabet Inc Class C,243.01%,FLIR,FLIR Systems,59.58%,GOOGL,Alphabet Inc Class A,85.24%,MNST,Monster Beverage,102.50%,LKQ,LKQ Corporation,69.36%,UDR,UDR Inc,305.00%,EXR,Extra Space Storage,238.29%,BWA,BorgWarner,207.36%,AET,Aetna Inc,183.58%,PHM,Pulte Homes Inc.,93.24%,ADI,"Analog Devices, Inc.",133.56%,NI,NiSource Inc.
49,393.37%,TROW,T. Rowe Price Group,384.50%,RCL,Royal Caribbean Cruises Ltd,302.95%,ADI,"Analog Devices, Inc.",185.34%,UNH,United Health Group Inc.,116.35%,ESS,"Essex Property Trust, Inc.",193.98%,CB,Chubb Corp,234.86%,MHK,Mohawk Industries,226.30%,FRT,Federal Realty Investment Trust,357.28%,VTR,Ventas Inc,238.34%,ANF,Abercrombie & Fitch,59.53%,PSA,Public Storage,83.39%,RRC,Range Resources Corp.,97.49%,MCD,McDonald's Corp.,68.73%,AVB,"AvalonBay Communities, Inc.",303.82%,EL,Estee Lauder Cos.,237.64%,ORLY,O'Reilly Automotive,204.27%,MCK,McKesson Corp.,183.11%,LSI,LSI Corporation,91.72%,PBCT,People's United Financial,133.10%,CI,CIGNA Corp.
50,392.67%,PGR,Progressive Corp.,363.94%,SIG,Signet Jewelers,296.53%,STT,State Street Corp.,184.49%,VAR,Varian Medical Systems,115.42%,GPN,Global Payments Inc,193.78%,XRAY,Dentsply Sirona,234.66%,XRX,Xerox Corp.,223.96%,SPG,Simon Property Group Inc,356.07%,CMI,Cummins Inc.,229.58%,HUM,Humana Inc.,59.35%,AMT,American Tower Corp A,79.28%,CERN,Cerner,91.99%,JNPR,Juniper Networks,68.17%,SHW,Sherwin-Williams,303.17%,CERN,Cerner,237.04%,PVH,PVH Corp.,204.13%,CBS,CBS Corp.,181.72%,WBA,Walgreens Boots Alliance,90.49%,IFF,Intl Flavors & Fragrances,132.18%,TDG,TransDigm Group
51,385.34%,MHK,Mohawk Industries,358.06%,HOG,Harley-Davidson,290.54%,LM,Legg Mason,177.87%,ORLY,O'Reilly Automotive,114.50%,AZO,AutoZone Inc,187.16%,LSI,LSI Corporation,231.37%,HCN,Welltower Inc.,223.10%,NFLX,Netflix Inc.,354.27%,PCLN,Priceline.com Inc,226.04%,FMC,FMC Corporation,59.13%,DNR,Denbury Resources,78.92%,CTSH,Cognizant Technology Solutions,90.32%,AAP,Advance Auto Parts,66.26%,DFS,Discover Financial Services,302.30%,DISH,Dish Network,235.89%,LKQ,LKQ Corporation,203.41%,TWX,Time Warner Inc.,181.26%,SBUX,Starbucks Corp.,89.83%,CPB,Campbell Soup,131.67%,PGR,Progressive Corp.
52,382.26%,TXN,Texas Instruments,349.37%,GE,General Electric,290.39%,UHS,"Universal Health Services, Inc.",177.22%,JCI,Johnson Controls Inc,113.51%,ADBE,Adobe Systems Inc,187.01%,IDXX,IDEXX Laboratories,227.57%,AZO,AutoZone Inc,222.38%,ANTM,Anthem Inc.,347.63%,PVH,PVH Corp.,222.80%,ADM,Archer-Daniels-Midland Co,59.01%,CVX,Chevron Corp.,78.11%,NBL,Noble Energy Inc,89.98%,APA,Apache Corporation,66.12%,O,Realty Income Corporation,301.82%,AN,AutoNation Inc,235.50%,KORS,Michael Kors Holdings,201.54%,CTAS,Cintas Corporation,181.03%,PKG,Packaging Corporation of America,89.63%,CAH,Cardinal Health,127.53%,SHW,Sherwin-Williams
53,382.12%,BBBY,Bed Bath & Beyond,345.11%,TJX,TJX Companies Inc.,287.79%,AIG,"American International Group, Inc.",172.26%,IGT,International Game Technology,109.89%,FLIR,FLIR Systems,181.55%,WDC,Western Digital,227.45%,GRMN,Garmin Ltd.,220.71%,CBG,CBRE Group,330.59%,ANSS,ANSYS,221.56%,AKAM,Akamai Technologies Inc,58.21%,MRO,Marathon Oil Corp.,76.51%,HAS,Hasbro Inc.,89.91%,AME,AMETEK Inc,64.78%,MO,Altria Group Inc,300.61%,RHT,Red Hat Inc.,234.60%,CMCSA,Comcast Corp.,197.93%,CBOE,CBOE Holdings,177.39%,SIG,Signet Jewelers,89.07%,OMC,Omnicom Group,127.09%,CME,CME Group Inc.
54,382.08%,OMC,Omnicom Group,327.60%,PAYX,Paychex Inc.,287.63%,SYY,Sysco Corp.,171.36%,PDCO,Patterson Companies,107.72%,LUK,Leucadia National Corp.,181.01%,SLM,SLM Corporation,226.39%,STZ,Constellation Brands,219.96%,GILD,Gilead Sciences,323.49%,AYI,Acuity Brands Inc,215.79%,GILD,Gilead Sciences,55.92%,FTI,TechnipFMC,72.01%,DE,Deere & Co.,89.60%,CCE,Coca-Cola Enterprises,63.60%,BMY,Bristol-Myers Squibb,300.24%,TER,Teradyne,229.93%,MA,Mastercard Inc.,196.98%,PPG,PPG Industries,177.35%,SEE,Sealed Air,86.68%,CDNS,Cadence Design Systems,126.57%,ZTS,Zoetis
55,381.99%,KSU,Kansas City Southern,326.67%,INCY,Incyte,277.66%,OMC,Omnicom Group,167.50%,CHRW,C. H. Robinson Worldwide,105.81%,LEN,Lennar Corp.,181.01%,EQT,EQT Corporation,222.50%,BBY,Best Buy Co. Inc.,218.49%,MAC,Macerich,321.09%,AET,Aetna Inc,214.29%,LUK,Leucadia National Corp.,55.52%,KR,Kroger Co.,71.61%,CELG,Celgene Corp.,89.52%,HAS,Hasbro Inc.,63.05%,FMC,FMC Corporation,300.17%,M,Macy's Inc.,228.75%,ENDP,Endo International plc,195.83%,LOW,Lowe's Cos.,173.76%,FB,"Facebook, Inc.",83.84%,ADM,Archer-Daniels-Midland Co,126.24%,KLAC,KLA-Tencor Corp.
56,377.78%,C,Citigroup Inc.,324.73%,C,Citigroup Inc.,275.60%,INTU,Intuit,166.22%,AMAT,Applied Materials Inc,104.81%,HP,Helmerich & Payne,179.08%,HUM,Humana Inc.,222.25%,R,Ryder Systems Inc.,215.07%,SBUX,Starbucks Corp.,320.87%,EIX,Edison Int'l,198.99%,AME,AMETEK Inc,52.74%,AZO,AutoZone Inc,71.45%,FFIV,F5 Networks,88.50%,CTSH,Cognizant Technology Solutions,62.97%,DISCA,Discovery Communications,287.67%,EQIX,Equinix,228.13%,CCE,Coca-Cola Enterprises,191.41%,ILMN,Illumina Inc,173.28%,NKE,Nike,83.03%,DWDP,DowDuPont,125.82%,SPGI,"S&P Global, Inc."
57,372.55%,BBT,BB&T Corporation,321.35%,AXP,American Express Co,272.64%,MMC,Marsh & McLennan,163.52%,HD,Home Depot,102.37%,BBBY,Bed Bath & Beyond,178.15%,FRT,Federal Realty Investment Trust,221.06%,PHM,Pulte Homes Inc.,213.04%,MCO,Moody's Corp,305.00%,BLK,BlackRock,198.66%,CHK,Chesapeake Energy,52.23%,ATVI,Activision Blizzard,70.60%,INCY,Incyte,87.70%,ORLY,O'Reilly Automotive,62.69%,CHTR,Charter Communications,286.98%,COG,Cabot Oil & Gas,226.47%,CMI,Cummins Inc.,191.17%,PHM,Pulte Homes Inc.,170.30%,ALXN,Alexion Pharmaceuticals,82.90%,SIG,Signet Jewelers,125.07%,RHT,Red Hat Inc.
58,362.96%,CMA,Comerica Inc.,320.65%,IPG,Interpublic Group,269.20%,MDT,Medtronic plc,160.10%,JEC,Jacobs Engineering Group,101.74%,REG,Regency Centers Corporation,177.82%,MCO,Moody's Corp,219.21%,AMZN,Amazon.com Inc,210.67%,DVA,DaVita,304.73%,GRMN,Garmin Ltd.,198.02%,CERN,Cerner,51.38%,APA,Apache Corporation,70.41%,AZO,AutoZone Inc,86.17%,FLIR,FLIR Systems,60.95%,URI,"United Rentals, Inc.",286.15%,ISRG,Intuitive Surgical Inc.,226.10%,COO,The Cooper Companies,188.47%,COO,The Cooper Companies,169.47%,GPN,Global Payments Inc,82.49%,SHW,Sherwin-Williams,123.31%,Q,Qwest Communications
59,362.43%,PBI,Pitney Bowes Inc,320.28%,KLAC,KLA-Tencor Corp.,269.07%,BBBY,Bed Bath & Beyond,158.85%,DNB,Dun & Bradstreet,101.10%,PDCO,Patterson Companies,177.38%,GRMN,Garmin Ltd.,217.78%,X,United States Steel Corporation,208.70%,PVH,PVH Corp.,303.77%,VNO,Vornado Realty Trust,197.46%,CTSH,Cognizant Technology Solutions,48.38%,VTR,Ventas Inc,70.13%,IBM,International Business Machines,86.05%,NKE,Nike,59.99%,NKE,Nike,285.92%,FTI,TechnipFMC,225.09%,EL,Estee Lauder Cos.,185.37%,PCLN,Priceline.com Inc,168.64%,AET,Aetna Inc,81.69%,BRK.B,Berkshire Hathaway,122.53%,GD,General Dynamics
60,351.17%,XL,XL Capital,316.75%,CCL,Carnival Corp.,265.55%,MTD,Mettler Toledo,156.62%,KLAC,KLA-Tencor Corp.,100.09%,OXY,Occidental Petroleum,174.88%,HRB,Block H&R,216.82%,EA,Electronic Arts,208.57%,EIX,Edison Int'l,299.31%,FCX,Freeport-McMoRan Inc.,194.40%,COP,ConocoPhillips,46.69%,RMD,ResMed,69.85%,UNP,Union Pacific,85.50%,APC,Anadarko Petroleum Corp,57.88%,SIG,Signet Jewelers,281.55%,IP,International Paper,222.20%,AMP,Ameriprise Financial,184.18%,CMCSA,Comcast Corp.,168.30%,PKI,PerkinElmer,80.81%,WFC,Wells Fargo,121.66%,HRS,Harris Corporation
61,345.70%,MS,Morgan Stanley,314.02%,S,Sprint Nextel Corp.,264.71%,MNST,Monster Beverage,154.47%,LUV,Southwest Airlines,98.08%,PCAR,PACCAR Inc.,173.48%,SBUX,Starbucks Corp.,214.17%,ROK,Rockwell Automation Inc.,204.22%,NOV,National Oilwell Varco Inc.,297.81%,CNX,Consol Energy,192.12%,PBCT,People's United Financial,45.98%,CL,Colgate-Palmolive,69.76%,KMX,Carmax Inc,81.52%,ORCL,Oracle Corp.,56.98%,HRL,Hormel Foods Corp.,280.24%,ROST,Ross Stores,222.02%,AMG,Affiliated Managers Group Inc,183.15%,NOC,Northrop Grumman Corp.,167.60%,CBOE,CBOE Holdings,78.22%,PH,Parker-Hannifin,119.98%,FISV,Fiserv Inc
62,338.00%,GILD,Gilead Sciences,312.45%,AMGN,Amgen Inc,259.73%,PDCO,Patterson Companies,152.67%,KMX,Carmax Inc,97.15%,HOG,Harley-Davidson,169.57%,UDR,UDR Inc,208.60%,AET,Aetna Inc,200.96%,RCL,Royal Caribbean Cruises Ltd,295.48%,AVB,"AvalonBay Communities, Inc.",192.05%,APH,Amphenol Corp,45.97%,ROP,Roper Technologies,67.92%,CHRW,C. H. Robinson Worldwide,79.99%,PH,Parker-Hannifin,56.90%,ED,Consolidated Edison,275.91%,WDC,Western Digital,218.86%,LEN,Lennar Corp.,179.83%,M,Macy's Inc.,164.47%,AIG,"American International Group, Inc.",77.99%,ZTS,Zoetis,119.79%,DRE,Duke Realty Corp
63,337.47%,JPM,JPMorgan Chase & Co.,310.31%,NTRS,Northern Trust Corp.,255.28%,VRTX,Vertex Pharmaceuticals Inc,151.64%,TXN,Texas Instruments,97.00%,O,Realty Income Corporation,168.44%,REG,Regency Centers Corporation,207.01%,RRC,Range Resources Corp.,198.40%,SLG,SL Green Realty,292.80%,NTAP,NetApp,179.64%,AIZ,Assurant Inc,45.68%,BF.B,Brown-Forman Corp.,66.38%,HCN,Welltower Inc.,79.32%,FAST,Fastenal Co,56.29%,SWK,Stanley Black & Decker,269.13%,CDNS,Cadence Design Systems,218.43%,AYI,Acuity Brands Inc,179.55%,ABC,AmerisourceBergen Corp,163.80%,TSS,Total System Services,76.86%,DLR,Digital Realty,117.57%,CSX,CSX Corp.
64,336.97%,CLX,The Clorox Company,302.60%,COO,The Cooper Companies,253.36%,TIF,Tiffany & Co.,150.17%,MHK,Mohawk Industries,96.72%,ATVI,Activision Blizzard,168.16%,SPG,Simon Property Group Inc,205.29%,UDR,UDR Inc,197.38%,AYI,Acuity Brands Inc,292.63%,BXP,Boston Properties,179.31%,SUN,Sunoco Inc.,45.40%,SHW,Sherwin-Williams,66.34%,TJX,TJX Companies Inc.,77.01%,IDXX,IDEXX Laboratories,55.13%,CCE,Coca-Cola Enterprises,266.43%,SWKS,Skyworks Solutions,217.24%,AME,AMETEK Inc,178.45%,UNP,Union Pacific,161.38%,IT,Gartner Inc,76.72%,UDR,UDR Inc,116.86%,SNPS,Synopsys Inc.
65,334.90%,CVS,CVS Health,301.52%,WBA,Walgreens Boots Alliance,252.35%,C,Citigroup Inc.,150.08%,TGT,Target Corp.,95.98%,SO,Southern Co.,167.68%,EOG,EOG Resources,203.18%,REG,Regency Centers Corporation,196.81%,WDC,Western Digital,290.52%,CHK,Chesapeake Energy,173.21%,EQT,EQT Corporation,44.83%,CB,Chubb Corp,63.74%,VTR,Ventas Inc,71.42%,CAT,Caterpillar Inc.,54.33%,KMX,Carmax Inc,265.33%,EBAY,eBay,216.67%,SHW,Sherwin-Williams,177.89%,NI,NiSource Inc.,161.32%,PSX,Phillips 66,75.53%,PSA,Public Storage,115.23%,V,Visa Inc.
66,333.52%,GE,General Electric,300.91%,IVZ,Invesco Ltd.,252.25%,APH,Amphenol Corp,148.36%,FII,Federated Investors,95.29%,CNC,Centene Corporation,167.58%,ATVI,Activision Blizzard,201.17%,AME,AMETEK Inc,195.92%,APA,Apache Corporation,289.17%,RHT,Red Hat Inc.,172.06%,APA,Apache Corporation,44.63%,CERN,Cerner,63.60%,CL,Colgate-Palmolive,71.15%,ETN,Eaton Corporation,52.63%,MYL,Mylan N.V.,261.92%,LKQ,LKQ Corporation,216.21%,DISCK,Discovery Communications,174.87%,LSI,LSI Corporation,155.20%,ODP,Office Depot Inc.,75.05%,COST,Costco Wholesale Corp.,115.22%,ALB,Albemarle Corp
67,332.29%,UHS,"Universal Health Services, Inc.",294.28%,USB,U.S. Bancorp,251.26%,BK,The Bank of New York Mellon Corp.,147.59%,AZO,AutoZone Inc,95.22%,NOV,National Oilwell Varco Inc.,167.45%,MHK,Mohawk Industries,199.25%,UNH,United Health Group Inc.,193.96%,LEN,Lennar Corp.,283.12%,DO,Diamond Offshore Drilling,171.65%,TROW,T. Rowe Price Group,43.47%,HCN,Welltower Inc.,62.73%,BAX,Baxter International Inc.,71.08%,DLR,Digital Realty,50.04%,BF.B,Brown-Forman Corp.,261.69%,PPG,PPG Industries,215.37%,VIAB,Viacom Inc.,174.16%,HUM,Humana Inc.,154.57%,MCK,McKesson Corp.,73.05%,CSCO,Cisco Systems,115.06%,RSG,Republic Services Inc
68,328.46%,AFL,AFLAC Inc,292.01%,CL,Colgate-Palmolive,248.50%,LEN,Lennar Corp.,143.03%,AMG,Affiliated Managers Group Inc,94.93%,HRB,Block H&R,164.84%,AME,AMETEK Inc,197.01%,ETN,Eaton Corporation,193.66%,SBR,Sabre Holdings,281.94%,GILD,Gilead Sciences,166.10%,APC,Anadarko Petroleum Corp,43.10%,IT,Gartner Inc,62.31%,NKE,Nike,70.51%,NFX,Newfield Exploration Co,49.97%,LYB,LyondellBasell,253.02%,CXO,Concho Resources,215.27%,HD,Home Depot,173.00%,CERN,Cerner,150.48%,URI,"United Rentals, Inc.",72.46%,ITT,ITT Corp.,113.95%,INTU,Intuit
69,327.42%,DHR,Danaher Corp.,287.61%,RHT,Red Hat Inc.,247.76%,AFL,AFLAC Inc,141.09%,SYY,Sysco Corp.,94.15%,INTU,Intuit,163.71%,AZO,AutoZone Inc,196.96%,YUM,Yum! Brands Inc,192.20%,HRS,Harris Corporation,273.93%,OXY,Occidental Petroleum,160.37%,PEG,Public Serv. Enterprise Inc.,42.52%,RTN,Raytheon Co.,61.71%,FCX,Freeport-McMoRan Inc.,66.67%,APH,Amphenol Corp,49.87%,JWN,Nordstrom,251.35%,WYNN,Wynn Resorts,210.94%,DISH,Dish Network,171.99%,TRIP,TripAdvisor,150.24%,LEN,Lennar Corp.,71.56%,NCLH,Norwegian Cruise Line,113.14%,BSX,Boston Scientific
