,1995-2016,ticker,company,1996-2017,ticker,company,1997-2018,ticker,company
167,1024.66%,CAH,Cardinal Health,653.65%,COP,ConocoPhillips,842.43%,DTE,DTE Energy
168,1010.27%,AON,Aon plc,652.04%,SWN,Southwestern Energy,842.31%,PX,Praxair Inc.
169,1009.01%,TMK,Torchmark Corp.,641.91%,CCI,Crown Castle International Corp.,839.09%,CHTR,Charter Communications
170,1004.42%,BBY,Best Buy Co. Inc.,640.66%,CSX,CSX Corp.,838.67%,PKI,PerkinElmer
171,997.33%,RCL,Royal Caribbean Cruises Ltd,634.77%,VTR,Ventas Inc,837.28%,XRAY,Dentsply Sirona
172,983.11%,SO,Southern Co.,627.11%,LRCX,Lam Research,837.05%,IGT,International Game Technology
173,975.91%,DE,Deere & Co.,619.81%,PPG,PPG Industries,836.03%,MAC,Macerich
174,973.13%,AXP,American Express Co,616.72%,NUE,Nucor Corp.,835.78%,MTB,M&T Bank Corp.
175,968.01%,ADP,Automatic Data Processing,613.48%,SRE,Sempra Energy,832.21%,JNJ,Johnson & Johnson
176,962.37%,SYMC,Symantec Corp.,611.64%,FLS,Flowserve Corporation,816.51%,AMT,American Tower Corp A
177,962.32%,PPL,PPL Corp.,609.42%,BBT,BB&T Corporation,813.91%,LNT,Alliant Energy Corp
178,955.98%,FDX,FedEx Corporation,603.05%,PNC,PNC Financial Services,806.66%,WBA,Walgreens Boots Alliance
179,955.55%,HCP,HCP Inc.,600.52%,GPC,Genuine Parts,803.41%,FIS,Fidelity National Information Services
180,946.36%,BMY,Bristol-Myers Squibb,583.91%,V,Visa Inc.,801.01%,OMC,Omnicom Group
181,938.67%,SWK,Stanley Black & Decker,570.13%,CCL,Carnival Corp.,797.34%,ES,Eversource Energy
182,933.12%,DLR,Digital Realty,568.17%,PG,Procter & Gamble,789.37%,UDR,UDR Inc
183,930.32%,PH,Parker-Hannifin,566.72%,ED,Consolidated Edison,785.83%,EFX,Equifax Inc.
184,915.93%,SYY,Sysco Corp.,564.32%,AMT,American Tower Corp A,784.26%,BRK.B,Berkshire Hathaway
185,913.08%,IT,Gartner Inc,560.82%,JCI,Johnson Controls Inc,784.14%,AGN,"Allergan, Inc"
186,905.65%,UDR,UDR Inc,555.16%,TSS,Total System Services,780.67%,TGT,Target Corp.
187,905.25%,GWW,Grainger (W.W.) Inc.,553.74%,ILMN,Illumina Inc,768.51%,NI,NiSource Inc.
188,903.30%,JPM,JPMorgan Chase & Co.,519.36%,HAL,Halliburton Co.,757.80%,PDCO,Patterson Companies
189,900.98%,ABT,Abbott Laboratories,516.85%,BMS,Bemis Company,754.00%,ED,Consolidated Edison
190,883.99%,IBM,International Business Machines,507.65%,ETR,Entergy Corp.,751.05%,HAS,Hasbro Inc.
191,881.04%,D,Dominion Energy,503.27%,APA,Apache Corporation,748.59%,VMC,Vulcan Materials
192,880.04%,ILMN,Illumina Inc,500.00%,NFX,Newfield Exploration Co,748.57%,CVS,CVS Health
193,869.96%,KMB,Kimberly-Clark,498.67%,ALL,Allstate Corp,739.02%,SRE,Sempra Energy
194,864.01%,CTAS,Cintas Corporation,497.32%,BMY,Bristol-Myers Squibb,720.22%,HSY,The Hershey Company
195,856.68%,LM,Legg Mason,496.60%,PKI,PerkinElmer,719.13%,MMC,Marsh & McLennan
196,854.82%,HON,Honeywell Int'l Inc.,496.19%,MS,Morgan Stanley,717.60%,HP,Helmerich & Payne
197,836.24%,KIM,Kimco Realty,487.62%,RRC,Range Resources Corp.,708.79%,NUE,Nucor Corp.
198,832.59%,PEP,PepsiCo Inc.,482.30%,KSU,Kansas City Southern,701.10%,APD,Air Products & Chemicals Inc
199,832.56%,LEG,Leggett & Platt,478.59%,BK,The Bank of New York Mellon Corp.,699.30%,HSIC,Henry Schein
200,819.12%,PFE,Pfizer Inc.,470.54%,DRE,Duke Realty Corp,692.86%,REG,Regency Centers Corporation
201,818.89%,BA,Boeing Company,466.69%,VRTX,Vertex Pharmaceuticals Inc,691.58%,GWW,Grainger (W.W.) Inc.
202,811.86%,FLS,Flowserve Corporation,460.26%,LM,Legg Mason,689.68%,STT,State Street Corp.
