,1995-2011,ticker,company,1996-2012,ticker,company,1997-2013,ticker,company,1998-2014,ticker,company,1999-2015,ticker,company,2000-2016,ticker,company,2001-2017,ticker,company,2002-2018,ticker,company
59,1107.57%,COST,Costco Wholesale Corp.,1130.00%,HP,Helmerich & Payne,992.97%,EW,Edwards Lifesciences,1121.65%,FFIV,F5 Networks,1324.70%,LKQ,LKQ Corporation,1368.67%,FLIR,FLIR Systems,923.54%,COG,Cabot Oil & Gas,1079.71%,KG,King Pharmaceuticals Inc.
60,1089.75%,PAYX,Paychex Inc.,1110.78%,BLL,Ball Corp,988.53%,MA,Mastercard Inc.,1110.86%,CMG,Chipotle Mexican Grill,1316.36%,PCAR,PACCAR Inc.,1355.62%,PXD,Pioneer Natural Resources,906.70%,DLTR,Dollar Tree,1070.02%,BCR,Bard (C.R.) Inc.
61,1064.46%,DISH,Dish Network,1080.52%,COST,Costco Wholesale Corp.,973.65%,DLTR,Dollar Tree,1101.03%,FLIR,FLIR Systems,1310.43%,NOV,National Oilwell Varco Inc.,1337.34%,AOS,A.O. Smith,904.82%,NUE,Nucor Corp.,1029.60%,ROP,Roper Technologies
62,1047.75%,AZO,AutoZone Inc,1070.48%,AME,AMETEK Inc,969.03%,LKQ,LKQ Corporation,1089.01%,FAST,Fastenal Co,1306.22%,ETN,Eaton Corporation,1333.46%,CF,CF Industries Holdings Inc,901.68%,HRS,Harris Corporation,1007.94%,NKE,Nike
63,1031.26%,DNR,Denbury Resources,1054.77%,WYNN,Wynn Resorts,960.90%,REGN,Regeneron,1082.65%,AYI,Acuity Brands Inc,1301.76%,TDG,TransDigm Group,1326.17%,UHS,"Universal Health Services, Inc.",867.60%,ALB,Albemarle Corp,998.66%,CERN,Cerner
64,989.47%,VNO,Vornado Realty Trust,1046.61%,VAR,Varian Medical Systems,959.78%,ESS,"Essex Property Trust, Inc.",1076.36%,ADBE,Adobe Systems Inc,1299.43%,BLL,Ball Corp,1322.97%,CB,Chubb Corp,846.64%,KSU,Kansas City Southern,996.76%,BF.B,Brown-Forman Corp.
65,986.08%,ROK,Rockwell Automation Inc.,1025.44%,AZO,AutoZone Inc,959.72%,TWX,Time Warner Inc.,1072.44%,VTR,Ventas Inc,1296.62%,UNP,Union Pacific,1309.64%,COG,Cabot Oil & Gas,834.74%,EBAY,eBay,992.02%,TPR,"Tapestry, Inc."
66,981.42%,NKE,Nike,1003.03%,CB,Chubb Corp,955.14%,NTAP,NetApp,1068.11%,CME,CME Group Inc.,1292.21%,ESS,"Essex Property Trust, Inc.",1266.94%,HCN,Welltower Inc.,831.82%,OXY,Occidental Petroleum,989.91%,FLIR,FLIR Systems
67,975.41%,AVB,"AvalonBay Communities, Inc.",1001.12%,CERN,Cerner,953.64%,YUM,Yum! Brands Inc,1052.22%,BBY,Best Buy Co. Inc.,1282.28%,CME,CME Group Inc.,1253.30%,ESS,"Essex Property Trust, Inc.",831.40%,FAST,Fastenal Co,989.86%,PSA,Public Storage
68,967.08%,CSCO,Cisco Systems,983.73%,HCN,Welltower Inc.,950.78%,MON,Monsanto Co.,1038.04%,INTU,Intuit,1279.30%,CRM,Salesforce.com,1241.18%,LH,Laboratory Corp. of America Holding,830.02%,HSIC,Henry Schein,986.45%,NSC,Norfolk Southern Corp.
69,945.37%,EOG,EOG Resources,973.24%,EQT,EQT Corporation,942.53%,EOG,EOG Resources,1021.79%,AMG,Affiliated Managers Group Inc,1268.25%,MON,Monsanto Co.,1235.92%,O,Realty Income Corporation,818.34%,ETN,Eaton Corporation,971.64%,URBN,Urban Outfitters
70,938.34%,HOLX,Hologic,953.84%,AVB,"AvalonBay Communities, Inc.",938.35%,SYMC,Symantec Corp.,1016.91%,GOOG,Alphabet Inc Class C,1263.24%,ANDV,Andeavor,1215.06%,APH,Amphenol Corp,811.64%,LB,L Brands Inc.,971.41%,VTR,Ventas Inc
71,924.44%,EQT,EQT Corporation,945.35%,RRC,Range Resources Corp.,936.30%,OXY,Occidental Petroleum,1016.91%,GOOGL,Alphabet Inc Class A,1258.46%,STZ,Constellation Brands,1203.59%,FL,Foot Locker Inc,807.58%,NKE,Nike,960.47%,CXO,Concho Resources
72,918.13%,SPG,Simon Property Group Inc,942.67%,FTI,TechnipFMC,933.23%,ATVI,Activision Blizzard,1015.81%,FTI,TechnipFMC,1246.20%,LRCX,Lam Research,1174.47%,UAA,Under Armour,792.60%,COO,The Cooper Companies,934.38%,ANTM,Anthem Inc.
73,896.45%,VLO,Valero Energy,930.11%,ROP,Roper Technologies,923.34%,OKE,ONEOK,1004.31%,VRSN,Verisign Inc.,1231.13%,LB,L Brands Inc.,1150.47%,VFC,V.F. Corp.,792.46%,NOC,Northrop Grumman Corp.,926.95%,IT,Gartner Inc
74,891.09%,REGN,Regeneron,911.50%,IRM,Iron Mountain Incorporated,910.68%,UNH,United Health Group Inc.,1001.85%,ROP,Roper Technologies,1199.99%,FOSL,Fossil Group,1111.84%,NKE,Nike,764.71%,PKG,Packaging Corporation of America,926.92%,PKG,Packaging Corporation of America
75,879.88%,EW,Edwards Lifesciences,893.01%,MTD,Mettler Toledo,907.92%,CTXS,Citrix Systems,1000.06%,SIG,Signet Jewelers,1179.34%,NVDA,Nvidia Corporation,1102.77%,RRC,Range Resources Corp.,763.40%,WEC,Wec Energy Group Inc,919.42%,ICE,Intercontinental Exchange
76,855.11%,ESV,Ensco plc,884.88%,ABC,AmerisourceBergen Corp,893.40%,STZ,Constellation Brands,995.71%,OKE,ONEOK,1170.19%,PSA,Public Storage,1078.66%,EXR,Extra Space Storage,746.45%,GWW,Grainger (W.W.) Inc.,917.92%,FRT,Federal Realty Investment Trust
